model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-e5-large,0,1.58,6.5,13.99,15.52,25.45,31.9,5.08,1.58,6.5,13.99,15.52,25.45,31.9,71.58,74.35,63.74
MLP-llama,0,1.94,4.65,20.49,41.16,58.44,75.14,8.41,1.94,4.65,20.49,41.16,58.44,75.14,95.78,95.11,90.1
NCN,0,19.13,32.81,64.53,80.28,90.25,96.34,33.96,19.13,32.81,64.53,80.28,90.25,96.34,99.04,98.96,95.58
NCN,1,0.99,44.54,59.88,76.94,88.31,95.53,28.0,0.99,44.54,59.88,76.94,88.31,95.53,99.06,98.94,95.53
NCN,2,4.06,37.14,62.14,77.3,89.12,95.76,24.65,4.06,37.14,62.14,77.3,89.12,95.76,99.02,98.91,95.64
NCN,3,31.0,28.66,44.68,71.93,87.95,95.26,38.13,31.0,28.66,44.68,71.93,87.95,95.26,98.88,98.77,95.22
NCN,4,34.84,40.61,62.0,75.05,88.63,94.54,43.26,34.84,40.61,62.0,75.05,88.63,94.54,98.84,98.78,94.99
NCN,0,30.6,40.39,61.82,78.75,91.88,96.66,39.34,30.6,40.39,61.82,78.75,91.88,96.66,99.19,99.13,96.12
NCN,1,14.53,38.94,60.88,78.93,91.29,96.93,34.76,14.53,38.94,60.88,78.93,91.29,96.93,99.18,99.09,95.96
NCN,2,5.19,28.34,56.14,74.59,90.3,96.62,24.72,5.19,28.34,56.14,74.59,90.3,96.62,99.1,98.99,96.14
NCN,3,27.39,40.25,58.17,67.37,87.86,95.49,38.84,27.39,40.25,58.17,67.37,87.86,95.49,99.04,98.8,95.8
NCN,4,2.26,23.47,60.15,76.99,88.9,95.8,16.01,2.26,23.47,60.15,76.99,88.9,95.8,99.05,98.89,95.28
BUDDY,0,6.0,23.15,66.56,78.34,90.97,95.62,22.42,6.0,23.15,66.56,78.34,90.97,95.62,98.81,98.72,86.82
BUDDY,1,21.66,25.05,59.57,78.43,89.58,95.71,30.39,21.66,25.05,59.57,78.43,89.58,95.71,98.94,98.85,93.86
