model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-minilm,1,1.11,5.86,9.96,14.95,25.21,33.59,4.87,1.11,5.86,9.96,14.95,25.21,33.59,75.02,76.92,68.73
MLP-minilm,2,1.76,4.1,9.73,15.47,24.44,34.11,5.37,1.76,4.1,9.73,15.47,24.44,34.11,74.85,76.95,69.2
MLP-minilm,3,3.46,7.03,10.02,15.3,24.74,34.35,6.7,3.46,7.03,10.02,15.3,24.74,34.35,75.04,77.11,68.52
MLP-minilm,4,2.34,5.51,11.78,15.06,25.03,35.23,5.8,2.34,5.51,11.78,15.06,25.03,35.23,75.2,77.17,68.79
MLP-bert,0,1.52,3.05,11.37,22.68,36.11,48.83,5.45,1.52,3.05,11.37,22.68,36.11,48.83,86.51,85.97,78.58
MLP-bert,1,1.58,7.03,17.06,22.39,37.87,48.53,5.16,1.58,7.03,17.06,22.39,37.87,48.53,86.64,86.57,78.75
MLP-bert,2,1.82,3.87,15.01,21.75,34.23,48.12,5.74,1.82,3.87,15.01,21.75,34.23,48.12,86.61,86.18,78.69
MLP-bert,3,1.35,3.17,13.01,19.93,35.64,49.71,6.32,1.35,3.17,13.01,19.93,35.64,49.71,86.83,86.43,79.31
MLP-bert,4,1.23,3.81,15.59,24.21,33.47,48.36,5.67,1.23,3.81,15.59,24.21,33.47,48.36,86.44,86.16,78.78
MLP-e5-large,0,7.39,9.61,19.46,25.91,43.02,56.15,12.29,7.39,9.61,19.46,25.91,43.02,56.15,88.44,88.53,79.54
MLP-e5-large,1,7.09,9.14,19.34,27.26,42.73,55.45,12.6,7.09,9.14,19.34,27.26,42.73,55.45,88.5,88.61,79.89
MLP-e5-large,2,7.27,9.14,19.17,25.32,42.85,55.22,12.24,7.27,9.14,19.17,25.32,42.85,55.22,88.29,88.41,79.66
MLP-e5-large,3,6.92,9.44,18.76,25.79,42.26,55.63,11.97,6.92,9.44,18.76,25.79,42.26,55.63,88.34,88.44,79.75
MLP-e5-large,4,7.09,9.96,18.7,26.2,42.67,54.98,12.13,7.09,9.96,18.7,26.2,42.67,54.98,88.18,88.31,79.78
MLP-llama,0,17.17,28.08,58.03,64.36,77.02,85.93,26.3,17.17,28.08,58.03,64.36,77.02,85.93,96.85,96.87,90.77
MLP-llama,1,8.97,24.74,50.76,62.95,79.48,87.46,26.36,8.97,24.74,50.76,62.95,79.48,87.46,96.72,96.82,90.89
MLP-llama,2,19.4,27.78,46.19,61.14,78.43,86.81,29.13,19.4,27.78,46.19,61.14,78.43,86.81,96.71,96.84,90.68
