Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
pubmed_runygm2l1i2_BUDDY_hyper42td0rf4,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.3,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hypermk88p4yk,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.3,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hypermfnfxtu6,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.3,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hyperrhbh8gvn,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.3,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hyperj23q4w01,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.3,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyperumvsu0nq,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.5,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyper03da6q9k,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.5,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyperw4p3rhqx,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.5,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyperazcanagc,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.5,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyperxgcso9wo,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.5,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hyperuic4gkl3,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.5,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hyperebymhke3,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.5,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hyperckp1mgzk,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.5,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hyperhmu87mxh,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.5,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyperoa3ukee1,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.0001,2,0.1,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyperx272u2sr,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.0001,2,0.1,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyperj4ce7dyl,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.0001,2,0.1,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyperwzmlbfcu,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.0001,2,0.1,0.3,0.1
