Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_global_dim,dropout,batch_size,gnn_batch_size,lr
cora_runuol7yvm3_NeoGNN_hyperigcyp8ya,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.1,1024,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperc0zjv7vg,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.1,1024,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperv22amkle,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.1,1024,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperwbei3e69,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.3,512,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperlek6avh4,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.3,512,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperf054vl0x,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.3,512,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperxsrphpqg,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.3,512,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperw7cx7k00,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.3,1024,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperx5x9ckdk,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.3,1024,4096,0.001
cora_runuol7yvm3_NeoGNN_hyper51mynb93,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.3,1024,8192,0.01
